"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"127","G",3,1443,1530,634,1.06,"MILT",20,"C73",1501,29,0.0457413249211356,"EXP 3","GSH1"
"128","F",3,1745,1714,615,0.9822,"MILT",10,"C73",1340,374,0.608130081300813,"EXP 3","GSH1"
"129","E",3,1661,2870,876,1.728,"MILT",5,"C73",723,2147,2.45091324200913,"EXP 3","GSH1"
"130","D",3,1940,2889,869,1.489,"MILT",2.5,"C73",483,2406,2.7686996547756,"EXP 3","GSH1"
"131","C",3,2087,13946,1500,6.682,"MILT",1.25,"C73",752,13194,8.796,"EXP 3","GSH1"
"132","B",3,1993,10117,1356,5.076,"MILT",0,"C73",779,9338,6.88643067846608,"EXP 3","GSH1"
"133","B",4,1746,12617,1203,7.226,"MILT",0,"C76",779,11838,9.84039900249376,"EXP 3","GSH1"
"134","C",4,1945,20027,1459,10.3,"MILT",1.25,"C76",752,19275,13.2111034955449,"EXP 3","GSH1"
"135","D",4,1620,8445,1010,5.213,"MILT",2.5,"C76",483,7962,7.88316831683168,"EXP 3","GSH1"
"136","E",4,1331,1237,463,0.9294,"MILT",5,"C76",723,514,1.11015118790497,"EXP 3","GSH1"
"137","F",4,1385,2776,708,2.004,"MILT",10,"C76",1340,1436,2.02824858757062,"EXP 3","GSH1"
"138","G",4,1500,3033,742,2.022,"MILT",20,"C76",1501,1532,2.06469002695418,"EXP 3","GSH1"
"139","G",5,1447,2018,676,1.395,"MILT",20,"C44",1501,517,0.764792899408284,"EXP 3","GSH1"
"140","F",5,1721,2795,856,1.624,"MILT",10,"C44",1340,1455,1.69976635514019,"EXP 3","GSH1"
"141","E",5,1354,2812,777,2.077,"MILT",5,"C44",723,2089,2.68854568854569,"EXP 3","GSH1"
"142","D",5,1628,2946,812,1.81,"MILT",2.5,"C44",483,2463,3.03325123152709,"EXP 3","GSH1"
"143","C",5,2195,12213,1468,5.564,"MILT",1.25,"C44",752,11461,7.80722070844687,"EXP 3","GSH1"
"144","B",5,1924,14650,1403,7.614,"MILT",0,"C44",779,13871,9.88667141838917,"EXP 3","GSH1"
"145","B",6,1552,6140,964,3.956,"MILT",0,"REF",779,5361,5.56120331950207,"EXP 3","GSH1"
